Stadt,"Post-leitzahl 1)","Fläche in km2 2)",insgesamt,männlich,weiblich,"je km2"
"Berlin, Stadt",10178,891.12,3574830,1755700,1819130,4012
"Hamburg, Freie und Hansestadt",20038,755.3,1810438,886289,924149,2397
"München, Landeshauptstadt",80331,310.71,1464301,714112,750189,4713
"Köln, Stadt",50667,405.02,1075935,524790,551145,2657
"Frankfurt am Main, Stadt",60311,248.31,736414,363754,372660,2966
"Stuttgart, Landeshauptstadt",70173,207.33,628032,313295,314737,3029
"Düsseldorf, Stadt",40213,217.41,613230,296231,316999,2821
"Dortmund, Stadt",44135,280.71,585813,287897,297916,2087
"Essen, Stadt",45127,210.34,583084,283065,300019,2772
"Leipzig, Stadt",04109,297.8,571088,280292,290796,1918
"Bremen, Stadt",28195,326.18,565719,279170,286549,1734
"Dresden, Stadt",01067,328.48,547172,272398,274774,1666
"Hannover, Landeshauptstadt",30159,204.3,532864,259559,273305,2608
Nürnberg,90403,186.45,511628,248451,263177,2744
"Duisburg, Stadt",47051,232.8,499845,247099,252746,2147
"Bochum, Stadt",44787,145.66,364920,177592,187328,2505
"Wuppertal, Stadt",42275,168.39,352390,172255,180135,2093
"Bielefeld, Stadt",33602,258.82,333451,161109,172342,1288
"Bonn, Stadt",53111,141.06,322125,153493,168632,2284
"Münster, Stadt",48143,303.28,311846,149412,162434,1028
"Karlsruhe, Stadt",76133,173.42,309999,158207,151792,1788
"Mannheim, Universitätsstadt",68159,144.97,304781,152203,152578,2102
Augsburg,86150,146.87,289584,142033,147551,1972
"Wiesbaden, Landeshauptstadt",65183,203.93,277619,132595,145024,1361
"Gelsenkirchen, Stadt",45879,104.94,262528,130776,131752,2502
"Mönchengladbach, Stadt",41061,170.47,260925,128169,132756,1531
"Braunschweig, Stadt",38100,192.7,248667,122814,125853,1290
"Kiel, Landeshauptstadt",24103,118.65,247441,120473,126968,2085
"Chemnitz, Stadt",09111,221.05,246353,121279,125074,1114
"Aachen, Stadt",52062,160.85,244951,127246,117705,1523
"Magdeburg, Landeshauptstadt",39104,201.01,238136,117527,120609,1185
"Halle (Saale), Stadt",06108,135.02,238005,115198,122807,1763
"Freiburg im Breisgau, Stadt",79098,153.04,227590,108503,119087,1487
