Stadt,"Post-leitzahl 1)","Fläche in km2 2)",männlich
"Berlin, Stadt",10178,891.12,1755700
"Hamburg, Freie und Hansestadt",20038,755.3,886289
"München, Landeshauptstadt",80331,310.71,714112
"Köln, Stadt",50667,405.02,524790
"Frankfurt am Main, Stadt",60311,248.31,363754
"Stuttgart, Landeshauptstadt",70173,207.33,313295
"Düsseldorf, Stadt",40213,217.41,296231
"Dortmund, Stadt",44135,280.71,287897
"Essen, Stadt",45127,210.34,283065
"Leipzig, Stadt",4109,297.8,280292
"Bremen, Stadt",28195,326.18,279170
"Dresden, Stadt",1067,328.48,272398
"Hannover, Landeshauptstadt",30159,204.3,259559
Nürnberg,90403,186.45,248451
"Duisburg, Stadt",47051,232.8,247099
"Bochum, Stadt",44787,145.66,177592
"Wuppertal, Stadt",42275,168.39,172255
"Bielefeld, Stadt",33602,258.82,161109
"Bonn, Stadt",53111,141.06,153493
"Münster, Stadt",48143,303.28,149412
"Karlsruhe, Stadt",76133,173.42,158207
"Mannheim, Universitätsstadt",68159,144.97,152203
Augsburg,86150,146.87,142033
"Wiesbaden, Landeshauptstadt",65183,203.93,132595
"Gelsenkirchen, Stadt",45879,104.94,130776
"Mönchengladbach, Stadt",41061,170.47,128169
"Braunschweig, Stadt",38100,192.7,122814
"Kiel, Landeshauptstadt",24103,118.65,120473
"Chemnitz, Stadt",9111,221.05,121279
"Aachen, Stadt",52062,160.85,127246
"Magdeburg, Landeshauptstadt",39104,201.01,117527
"Halle (Saale), Stadt",6108,135.02,115198
"Freiburg im Breisgau, Stadt",79098,153.04,108503
"Krefeld, Stadt",47803,137.77,110593
"Lübeck, Hansestadt",23539,214.21,103921
"Mainz, Stadt",55116,97.73,103861
"Oberhausen, Stadt",46045,77.09,103720
"Erfurt, Stadt",99084,269.91,102577
"Rostock, Hansestadt",18055,181.36,102082
"Kassel, documenta-Stadt",34117,106.78,97228
"Hagen, Stadt der FernUniversität",58095,160.45,91677
"Saarbrücken, Landeshauptstadt",66111,167.52,89041
