Stadt,"Post-leitzahl 1)","Fläche in km2 2)",weiblich
"Berlin, Stadt",10178,891.12,1819130
"Hamburg, Freie und Hansestadt",20038,755.3,924149
"München, Landeshauptstadt",80331,310.71,750189
"Köln, Stadt",50667,405.02,551145
"Frankfurt am Main, Stadt",60311,248.31,372660
"Stuttgart, Landeshauptstadt",70173,207.33,314737
"Düsseldorf, Stadt",40213,217.41,316999
"Dortmund, Stadt",44135,280.71,297916
"Essen, Stadt",45127,210.34,300019
"Leipzig, Stadt",4109,297.8,290796
"Bremen, Stadt",28195,326.18,286549
"Dresden, Stadt",1067,328.48,274774
"Hannover, Landeshauptstadt",30159,204.3,273305
Nürnberg,90403,186.45,263177
"Duisburg, Stadt",47051,232.8,252746
"Bochum, Stadt",44787,145.66,187328
"Wuppertal, Stadt",42275,168.39,180135
"Bielefeld, Stadt",33602,258.82,172342
"Bonn, Stadt",53111,141.06,168632
"Münster, Stadt",48143,303.28,162434
"Karlsruhe, Stadt",76133,173.42,151792
"Mannheim, Universitätsstadt",68159,144.97,152578
Augsburg,86150,146.87,147551
"Wiesbaden, Landeshauptstadt",65183,203.93,145024
"Gelsenkirchen, Stadt",45879,104.94,131752
"Mönchengladbach, Stadt",41061,170.47,132756
"Braunschweig, Stadt",38100,192.7,125853
"Kiel, Landeshauptstadt",24103,118.65,126968
"Chemnitz, Stadt",9111,221.05,125074
"Aachen, Stadt",52062,160.85,117705
"Magdeburg, Landeshauptstadt",39104,201.01,120609
"Halle (Saale), Stadt",6108,135.02,122807
"Freiburg im Breisgau, Stadt",79098,153.04,119087
"Krefeld, Stadt",47803,137.77,116219
"Lübeck, Hansestadt",23539,214.21,112791
"Mainz, Stadt",55116,97.73,109667
"Oberhausen, Stadt",46045,77.09,107662
"Erfurt, Stadt",99084,269.91,108536
"Rostock, Hansestadt",18055,181.36,105431
"Kassel, documenta-Stadt",34117,106.78,101834
"Hagen, Stadt der FernUniversität",58095,160.45,96589
"Saarbrücken, Landeshauptstadt",66111,167.52,90668
"Hamm, Stadt",59065,226.43,91362
"Potsdam, Stadt",14461,188.26,88750
"Mülheim an der Ruhr, Stadt",45468,91.28,88505
"Ludwigshafen am Rhein, Stadt",67059,77.43,83992
"Oldenburg (Oldenburg), Stadt",26122,103.09,86586
"Osnabrück, Stadt",49074,119.8,84640
"Leverkusen, Stadt",51373,78.87,83770
"Heidelberg, Stadt",69117,108.89,82747
"Solingen, Klingenstadt",42651,89.54,81781
"Darmstadt, Wissenschaftsstadt",64283,122.09,77254
"Herne, Stadt",44623,51.42,80029
"Neuss, Stadt",41460,99.52,78797
"Paderborn, Stadt",33098,179.59,74778
Regensburg,93047,80.85,76838
Ingolstadt,85049,133.35,66256
Würzburg,97070,87.6,66032
Fürth,90762,63.35,64031
"Offenbach am Main, Stadt",63065,44.89,63060
"Ulm, Universitätsstadt",89073,118.68,62709
"Wolfsburg, Stadt",38440,204.61,62265
"Heilbronn, Stadt",74072,99.89,61583
"Pforzheim, Stadt",75175,98.07,62911
"Göttingen, Stadt",37083,116.93,61234
"Bottrop, Stadt",46236,100.61,60214
"Reutlingen, Stadt",72764,87.04,58258
"Recklinghausen, Stadt",45657,66.5,58509
"Koblenz, Stadt",56068,105.25,58550
"Bremerhaven, Stadt",27576,93.66,56730
"Bergisch Gladbach, Stadt",51465,83.09,57842
"Remscheid, Stadt",42853,74.52,56078
"Jena, Stadt",7743,114.76,55353
Erlangen,91052,76.96,55635
"Trier, Stadt",54290,117.07,55880
"Moers, Stadt",47441,67.68,53468
"Salzgitter, Stadt",38226,224.49,52140
"Siegen, Universitätsstadt",57072,114.69,52128
"Hildesheim, Stadt",31134,92.29,53446
"Cottbus, Stadt",3046,165.62,50874
"Kaiserslautern, Stadt",67657,139.7,49294
"Gütersloh, Stadt",33330,112.02,49568
"Witten, Stadt",58452,72.4,49676
"Schwerin, Landeshauptstadt",19053,130.52,49557
"Hanau, Brüder-Grimm-Stadt",63450,76.49,48183
"Gera, Stadt",7545,152.19,48993
"Iserlohn, Stadt",58636,125.49,47579
"Ludwigsburg, Stadt",71638,43.34,47307
"Esslingen am Neckar, Stadt",73728,46.43,46348
"Zwickau, Stadt",8056,102.58,46403
"Düren, Stadt",52349,85,45636
"Tübingen, Universitätsstadt",72070,108.07,46403
"Flensburg, Stadt",24937,56.74,43815
"Ratingen, Stadt",40878,88.74,45432
"Gießen, Universitätsstadt",35390,72.55,44227
"Lünen, Stadt",44532,59.39,44229
"Villingen-Schwenningen, Stadt",78050,165.5,42796
"Konstanz, Universitätsstadt",78462,54.11,43527
"Marl, Stadt",45768,87.76,42547
"Worms, Stadt",67547,108.73,42053
"Dessau-Roßlau, Stadt",6844,244.75,42400
"Velbert, Stadt",42551,74.9,41917
"Minden, Stadt",32423,101.12,41550
"Neumünster, Stadt",24534,71.63,40242
"Norderstedt, Stadt",22846,58.1,40177
"Delmenhorst, Stadt",27749,62.45,38876
"Viersen, Stadt",41747,91.1,39466
"Wilhelmshaven, Stadt",26382,107.07,38690
Bamberg,96047,54.62,39457
"Gladbeck, Stadt",45964,35.97,38769
"Rheine, Stadt",48431,145,38074
"Dorsten, Stadt",46284,171.2,38593
"Marburg, Universitätsstadt",35037,123.92,39030
"Troisdorf, Stadt",53840,62,38109
"Lüneburg, Hansestadt",21335,70.5,38593
"Castrop-Rauxel, Stadt",44575,51.68,37993
"Arnsberg, Stadt",59759,193.72,37585
"Detmold, Stadt",32756,129.39,38342
"Lüdenscheid, Stadt",58507,87.02,37259
Bayreuth,95444,66.89,37627
"Brandenburg an der Havel, Stadt",14770,229.72,36284
"Bocholt, Stadt",46395,119.4,36412
Landshut,84028,65.83,36098
"Celle, Stadt",29221,176.02,35864
Aschaffenburg,63739,62.45,35737
"Lippstadt, Stadt",59555,113.68,34437
"Dinslaken, Stadt",46535,47.66,34918
"Aalen, Stadt",73430,146.58,34182
"Kempten (Allgäu)",87435,63.28,34092
"Fulda, Stadt",36037,104.04,34498
